@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,145,0,137,0,1,1,0.514184,1,0.485816,0.679157,1,1,0.001011
1,145,0,136,1,0.992701,1,0.516014,1,0.483986,0.680751,0.996454,1.003559,0.006641
2,145,0,135,2,0.985401,1,0.517857,1,0.482143,0.682353,0.992908,1.007143,0.007243
3,145,0,134,3,0.978102,1,0.519713,1,0.480287,0.683962,0.989362,1.010753,0.009414
4,145,0,133,4,0.970803,1,0.521583,1,0.478417,0.685579,0.985816,1.014388,0.009708
5,145,0,132,5,0.963504,1,0.523466,1,0.476534,0.687204,0.98227,1.018051,0.010946
6,145,0,131,6,0.956204,1,0.525362,1,0.474638,0.688836,0.978723,1.021739,0.012736
7,145,0,130,7,0.948905,1,0.527273,1,0.472727,0.690476,0.975177,1.025455,0.013103
8,145,0,129,8,0.941606,1,0.529197,1,0.470803,0.692124,0.971631,1.029197,0.013819
9,145,0,128,9,0.934307,1,0.531136,1,0.468864,0.69378,0.968085,1.032967,0.013824
10,145,0,127,10,0.927007,1,0.533088,1,0.466912,0.695444,0.964539,1.036765,0.015
11,145,0,126,11,0.919708,1,0.535055,1,0.464945,0.697115,0.960993,1.04059,0.020668
12,145,0,125,12,0.912409,1,0.537037,1,0.462963,0.698795,0.957447,1.044444,0.023087
13,145,0,124,13,0.905109,1,0.539033,1,0.460967,0.700483,0.953901,1.048327,0.023447
14,145,0,123,14,0.89781,1,0.541045,1,0.458955,0.702179,0.950355,1.052239,0.024462
15,145,0,122,15,0.890511,1,0.543071,1,0.456929,0.703883,0.946809,1.05618,0.026909
16,145,0,121,16,0.883212,1,0.545113,1,0.454887,0.705596,0.943262,1.06015,0.029357
17,145,0,120,17,0.875912,1,0.54717,1,0.45283,0.707317,0.939716,1.064151,0.030644
18,145,0,119,18,0.868613,1,0.549242,1,0.450758,0.709046,0.93617,1.068182,0.037168
19,145,0,118,19,0.861314,1,0.551331,1,0.448669,0.710784,0.932624,1.072243,0.03726
20,145,0,117,20,0.854015,1,0.553435,1,0.446565,0.712531,0.929078,1.076336,0.039029
21,145,0,116,21,0.846715,1,0.555556,1,0.444444,0.714286,0.925532,1.08046,0.039073
22,145,0,115,22,0.839416,1,0.557692,1,0.442308,0.716049,0.921986,1.084615,0.041473
23,145,0,114,23,0.832117,1,0.559846,1,0.440154,0.717822,0.91844,1.088803,0.041971
24,145,0,113,24,0.824818,1,0.562016,1,0.437984,0.719603,0.914894,1.093023,0.043018
25,145,0,112,25,0.817518,1,0.564202,1,0.435798,0.721393,0.911348,1.097276,0.043951
26,145,0,111,26,0.810219,1,0.566406,1,0.433594,0.723192,0.907801,1.101563,0.0456
27,145,0,110,27,0.80292,1,0.568627,1,0.431373,0.725,0.904255,1.105882,0.045701
28,145,0,109,28,0.79562,1,0.570866,1,0.429134,0.726817,0.900709,1.110236,0.052709
29,145,0,108,29,0.788321,1,0.573123,1,0.426877,0.728643,0.897163,1.114625,0.055262
30,145,0,107,30,0.781022,1,0.575397,1,0.424603,0.730479,0.893617,1.119048,0.05994
31,145,0,106,31,0.773723,1,0.577689,1,0.422311,0.732323,0.890071,1.123506,0.066298
32,144,1,106,31,0.773723,0.993103,0.576,0.993103,0.424,0.729114,0.886525,1.120221,0.068499
33,144,1,105,32,0.766423,0.993103,0.578313,0.993103,0.421687,0.730964,0.882979,1.12472,0.069564
34,144,1,104,33,0.759124,0.993103,0.580645,0.993103,0.419355,0.732824,0.879433,1.129255,0.069963
35,144,1,103,34,0.751825,0.993103,0.582996,0.993103,0.417004,0.734694,0.875887,1.133827,0.070586
36,144,1,102,35,0.744526,0.993103,0.585366,0.993103,0.414634,0.736573,0.87234,1.138436,0.076465
37,144,1,101,36,0.737226,0.993103,0.587755,0.993103,0.412245,0.738462,0.868794,1.143082,0.076604
38,144,1,100,37,0.729927,0.993103,0.590164,0.993103,0.409836,0.74036,0.865248,1.147767,0.08064
39,144,1,99,38,0.722628,0.993103,0.592593,0.993103,0.407407,0.742268,0.861702,1.15249,0.086392
40,144,1,98,39,0.715328,0.993103,0.595041,0.993103,0.404959,0.744186,0.858156,1.157253,0.095439
41,144,1,97,40,0.708029,0.993103,0.59751,0.993103,0.40249,0.746114,0.85461,1.162055,0.100273
42,144,1,96,41,0.70073,0.993103,0.6,0.993103,0.4,0.748052,0.851064,1.166897,0.101968
43,144,1,95,42,0.693431,0.993103,0.60251,0.993103,0.39749,0.75,0.847518,1.171779,0.110225
44,144,1,94,43,0.686131,0.993103,0.605042,0.993103,0.394958,0.751958,0.843972,1.176702,0.110652
45,144,1,93,44,0.678832,0.993103,0.607595,0.993103,0.392405,0.753927,0.840426,1.181667,0.111897
46,143,2,93,44,0.678832,0.986207,0.605932,0.986207,0.394068,0.750656,0.836879,1.178434,0.112577
47,143,2,92,45,0.671533,0.986207,0.608511,0.986207,0.391489,0.752632,0.833333,1.183448,0.116059
48,143,2,91,46,0.664234,0.986207,0.611111,0.986207,0.388889,0.754617,0.829787,1.188506,0.116661
49,143,2,90,47,0.656934,0.986207,0.613734,0.986207,0.386266,0.756614,0.826241,1.193607,0.120939
50,143,2,89,48,0.649635,0.986207,0.616379,0.986207,0.383621,0.758621,0.822695,1.198751,0.123723
51,143,2,88,49,0.642336,0.986207,0.619048,0.986207,0.380952,0.760638,0.819149,1.203941,0.126449
52,142,3,88,49,0.642336,0.97931,0.617391,0.97931,0.382609,0.757333,0.815603,1.20072,0.136391
53,142,3,87,50,0.635036,0.97931,0.620087,0.97931,0.379913,0.759358,0.812057,1.205963,0.140168
54,142,3,86,51,0.627737,0.97931,0.622807,0.97931,0.377193,0.761394,0.808511,1.211252,0.143939
55,142,3,85,52,0.620438,0.97931,0.625551,0.97931,0.374449,0.763441,0.804965,1.216588,0.149146
56,142,3,84,53,0.613139,0.97931,0.628319,0.97931,0.371681,0.765499,0.801418,1.221971,0.150099
57,142,3,83,54,0.605839,0.97931,0.631111,0.97931,0.368889,0.767568,0.797872,1.227402,0.155312
58,141,4,83,54,0.605839,0.972414,0.629464,0.972414,0.370536,0.764228,0.794326,1.2242,0.155599
59,141,4,82,55,0.59854,0.972414,0.632287,0.972414,0.367713,0.766304,0.79078,1.229689,0.15761
60,141,4,81,56,0.591241,0.972414,0.635135,0.972414,0.364865,0.768392,0.787234,1.235228,0.172931
61,141,4,80,57,0.583942,0.972414,0.638009,0.972414,0.361991,0.770492,0.783688,1.240818,0.18197
62,140,5,80,57,0.583942,0.965517,0.636364,0.965517,0.363636,0.767123,0.780142,1.237618,0.192499
63,140,5,79,58,0.576642,0.965517,0.639269,0.965517,0.360731,0.769231,0.776596,1.243269,0.197893
64,140,5,78,59,0.569343,0.965517,0.642202,0.965517,0.357798,0.77135,0.77305,1.248972,0.199739
65,140,5,77,60,0.562044,0.965517,0.645161,0.965517,0.354839,0.773481,0.769504,1.254727,0.199945
66,140,5,76,61,0.554745,0.965517,0.648148,0.965517,0.351852,0.775623,0.765957,1.260536,0.200889
67,140,5,75,62,0.547445,0.965517,0.651163,0.965517,0.348837,0.777778,0.762411,1.266399,0.20463
68,140,5,74,63,0.540146,0.965517,0.654206,0.965517,0.345794,0.779944,0.758865,1.272317,0.206637
69,140,5,73,64,0.532847,0.965517,0.657277,0.965517,0.342723,0.782123,0.755319,1.27829,0.210667
70,140,5,72,65,0.525547,0.965517,0.660377,0.965517,0.339623,0.784314,0.751773,1.28432,0.216161
71,140,5,71,66,0.518248,0.965517,0.663507,0.965517,0.336493,0.786517,0.748227,1.290407,0.21752
72,140,5,70,67,0.510949,0.965517,0.666667,0.965517,0.333333,0.788732,0.744681,1.296552,0.218238
73,140,5,69,68,0.50365,0.965517,0.669856,0.965517,0.330144,0.79096,0.741135,1.302755,0.22099
74,140,5,68,69,0.49635,0.965517,0.673077,0.965517,0.326923,0.793201,0.737589,1.309019,0.233059
75,139,6,68,69,0.49635,0.958621,0.671498,0.958621,0.328502,0.789773,0.734043,1.305947,0.233357
76,138,7,68,69,0.49635,0.951724,0.669903,0.951724,0.330097,0.786325,0.730496,1.302846,0.239648
77,138,7,67,70,0.489051,0.951724,0.673171,0.951724,0.326829,0.788571,0.72695,1.309201,0.239711
78,138,7,66,71,0.481752,0.951724,0.676471,0.951724,0.323529,0.790831,0.723404,1.315619,0.241449
79,138,7,65,72,0.474453,0.951724,0.679803,0.951724,0.320197,0.793103,0.719858,1.3221,0.243217
80,138,7,64,73,0.467153,0.951724,0.683168,0.951724,0.316832,0.795389,0.716312,1.328645,0.24476
81,138,7,63,74,0.459854,0.951724,0.686567,0.951724,0.313433,0.797688,0.712766,1.335255,0.245625
82,138,7,62,75,0.452555,0.951724,0.69,0.951724,0.31,0.8,0.70922,1.341931,0.251339
83,137,8,62,75,0.452555,0.944828,0.688442,0.944828,0.311558,0.796512,0.705674,1.338901,0.252933
84,137,8,61,76,0.445255,0.944828,0.691919,0.944828,0.308081,0.798834,0.702128,1.345664,0.259279
85,137,8,60,77,0.437956,0.944828,0.695431,0.944828,0.304569,0.80117,0.698582,1.352494,0.263678
86,136,9,60,77,0.437956,0.937931,0.693878,0.937931,0.306122,0.797654,0.695035,1.349472,0.264997
87,136,9,59,78,0.430657,0.937931,0.697436,0.937931,0.302564,0.8,0.691489,1.356393,0.268218
88,136,9,58,79,0.423358,0.937931,0.701031,0.937931,0.298969,0.80236,0.687943,1.363384,0.269589
