@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,131,0,137,0,1,1,0.488806,1,0.511194,0.656642,1,1,0.000028
1,131,0,136,1,0.992701,1,0.490637,1,0.509363,0.658291,0.996269,1.003745,0.000649
2,131,0,135,2,0.985401,1,0.492481,1,0.507519,0.65995,0.992537,1.007519,0.000678
3,131,0,134,3,0.978102,1,0.49434,1,0.50566,0.661616,0.988806,1.011321,0.000687
4,131,0,133,4,0.970803,1,0.496212,1,0.503788,0.663291,0.985075,1.015152,0.000832
5,131,0,132,5,0.963504,1,0.498099,1,0.501901,0.664975,0.981343,1.019011,0.000834
6,131,0,131,6,0.956204,1,0.5,1,0.5,0.666667,0.977612,1.022901,0.001698
7,131,0,130,7,0.948905,1,0.501916,1,0.498084,0.668367,0.973881,1.02682,0.002076
8,131,0,129,8,0.941606,1,0.503846,1,0.496154,0.670077,0.970149,1.030769,0.002275
9,131,0,128,9,0.934307,1,0.505792,1,0.494208,0.671795,0.966418,1.034749,0.002446
10,131,0,127,10,0.927007,1,0.507752,1,0.492248,0.673522,0.962687,1.03876,0.002453
11,131,0,126,11,0.919708,1,0.509728,1,0.490272,0.675258,0.958955,1.042802,0.00258
12,131,0,125,12,0.912409,1,0.511719,1,0.488281,0.677003,0.955224,1.046875,0.002681
13,131,0,124,13,0.905109,1,0.513725,1,0.486275,0.678756,0.951493,1.05098,0.003746
14,131,0,123,14,0.89781,1,0.515748,1,0.484252,0.680519,0.947761,1.055118,0.003761
15,131,0,122,15,0.890511,1,0.517787,1,0.482213,0.682292,0.94403,1.059289,0.003797
16,131,0,121,16,0.883212,1,0.519841,1,0.480159,0.684073,0.940299,1.063492,0.003998
17,131,0,120,17,0.875912,1,0.521912,1,0.478088,0.685864,0.936567,1.067729,0.005154
18,131,0,119,18,0.868613,1,0.524,1,0.476,0.687664,0.932836,1.072,0.00555
19,131,0,118,19,0.861314,1,0.526104,1,0.473896,0.689474,0.929104,1.076305,0.005733
20,131,0,117,20,0.854015,1,0.528226,1,0.471774,0.691293,0.925373,1.080645,0.006163
21,131,0,116,21,0.846715,1,0.530364,1,0.469636,0.693122,0.921642,1.08502,0.006508
22,131,0,115,22,0.839416,1,0.53252,1,0.46748,0.69496,0.91791,1.089431,0.006618
23,131,0,114,23,0.832117,1,0.534694,1,0.465306,0.696809,0.914179,1.093878,0.006868
24,131,0,113,24,0.824818,1,0.536885,1,0.463115,0.698667,0.910448,1.098361,0.006958
25,131,0,112,25,0.817518,1,0.539095,1,0.460905,0.700535,0.906716,1.102881,0.007289
26,131,0,111,26,0.810219,1,0.541322,1,0.458678,0.702413,0.902985,1.107438,0.007973
27,131,0,110,27,0.80292,1,0.543568,1,0.456432,0.704301,0.899254,1.112033,0.011071
28,131,0,109,28,0.79562,1,0.545833,1,0.454167,0.706199,0.895522,1.116667,0.01127
29,131,0,108,29,0.788321,1,0.548117,1,0.451883,0.708108,0.891791,1.121339,0.011524
30,131,0,107,30,0.781022,1,0.55042,1,0.44958,0.710027,0.88806,1.12605,0.011841
31,131,0,106,31,0.773723,1,0.552743,1,0.447257,0.711957,0.884328,1.130802,0.012994
32,131,0,105,32,0.766423,1,0.555085,1,0.444915,0.713896,0.880597,1.135593,0.017067
33,131,0,104,33,0.759124,1,0.557447,1,0.442553,0.715847,0.876866,1.140426,0.017144
34,131,0,103,34,0.751825,1,0.559829,1,0.440171,0.717808,0.873134,1.145299,0.017836
35,131,0,102,35,0.744526,1,0.562232,1,0.437768,0.71978,0.869403,1.150215,0.017893
36,131,0,101,36,0.737226,1,0.564655,1,0.435345,0.721763,0.865672,1.155172,0.020093
37,131,0,100,37,0.729927,1,0.5671,1,0.4329,0.723757,0.86194,1.160173,0.020308
38,131,0,99,38,0.722628,1,0.569565,1,0.430435,0.725762,0.858209,1.165217,0.021105
39,131,0,98,39,0.715328,1,0.572052,1,0.427948,0.727778,0.854478,1.170306,0.022729
40,131,0,97,40,0.708029,1,0.574561,1,0.425439,0.729805,0.850746,1.175439,0.02557
41,130,1,97,40,0.708029,0.992366,0.572687,0.992366,0.427313,0.726257,0.847015,1.171604,0.026767
42,130,1,96,41,0.70073,0.992366,0.575221,0.992366,0.424779,0.728291,0.843284,1.176788,0.02682
43,130,1,95,42,0.693431,0.992366,0.577778,0.992366,0.422222,0.730337,0.839552,1.182019,0.027754
44,130,1,94,43,0.686131,0.992366,0.580357,0.992366,0.419643,0.732394,0.835821,1.187296,0.028418
45,130,1,93,44,0.678832,0.992366,0.58296,0.992366,0.41704,0.734463,0.83209,1.19262,0.031864
46,130,1,92,45,0.671533,0.992366,0.585586,0.992366,0.414414,0.736544,0.828358,1.197992,0.032343
47,130,1,91,46,0.664234,0.992366,0.588235,0.992366,0.411765,0.738636,0.824627,1.203413,0.032346
48,130,1,90,47,0.656934,0.992366,0.590909,0.992366,0.409091,0.740741,0.820896,1.208883,0.034988
49,130,1,89,48,0.649635,0.992366,0.593607,0.992366,0.406393,0.742857,0.817164,1.214403,0.036256
50,130,1,88,49,0.642336,0.992366,0.59633,0.992366,0.40367,0.744986,0.813433,1.219973,0.036616
51,130,1,87,50,0.635036,0.992366,0.599078,0.992366,0.400922,0.747126,0.809701,1.225595,0.037066
52,130,1,86,51,0.627737,0.992366,0.601852,0.992366,0.398148,0.74928,0.80597,1.231269,0.038931
53,130,1,85,52,0.620438,0.992366,0.604651,0.992366,0.395349,0.751445,0.802239,1.236996,0.042344
54,130,1,84,53,0.613139,0.992366,0.607477,0.992366,0.392523,0.753623,0.798507,1.242777,0.0431
55,130,1,83,54,0.605839,0.992366,0.610329,0.992366,0.389671,0.755814,0.794776,1.248611,0.04317
56,130,1,82,55,0.59854,0.992366,0.613208,0.992366,0.386792,0.758017,0.791045,1.254501,0.044059
57,130,1,81,56,0.591241,0.992366,0.616114,0.992366,0.383886,0.760234,0.787313,1.260446,0.045982
58,130,1,80,57,0.583942,0.992366,0.619048,0.992366,0.380952,0.762463,0.783582,1.266449,0.047129
59,130,1,79,58,0.576642,0.992366,0.62201,0.992366,0.37799,0.764706,0.779851,1.272508,0.063617
60,130,1,78,59,0.569343,0.992366,0.625,0.992366,0.375,0.766962,0.776119,1.278626,0.064382
61,130,1,77,60,0.562044,0.992366,0.628019,0.992366,0.371981,0.769231,0.772388,1.284803,0.065052
62,130,1,76,61,0.554745,0.992366,0.631068,0.992366,0.368932,0.771513,0.768657,1.29104,0.06891
63,130,1,75,62,0.547445,0.992366,0.634146,0.992366,0.365854,0.77381,0.764925,1.297338,0.070595
64,130,1,74,63,0.540146,0.992366,0.637255,0.992366,0.362745,0.776119,0.761194,1.303697,0.070665
65,130,1,73,64,0.532847,0.992366,0.640394,0.992366,0.359606,0.778443,0.757463,1.310119,0.074113
66,130,1,72,65,0.525547,0.992366,0.643564,0.992366,0.356436,0.780781,0.753731,1.316605,0.075195
67,130,1,71,66,0.518248,0.992366,0.646766,0.992366,0.353234,0.783133,0.75,1.323155,0.078866
68,130,1,70,67,0.510949,0.992366,0.65,0.992366,0.35,0.785498,0.746269,1.329771,0.079572
69,130,1,69,68,0.50365,0.992366,0.653266,0.992366,0.346734,0.787879,0.742537,1.336453,0.081805
70,130,1,68,69,0.49635,0.992366,0.656566,0.992366,0.343434,0.790274,0.738806,1.343203,0.086394
71,130,1,67,70,0.489051,0.992366,0.659898,0.992366,0.340102,0.792683,0.735075,1.350021,0.091716
72,130,1,66,71,0.481752,0.992366,0.663265,0.992366,0.336735,0.795107,0.731343,1.356909,0.092748
73,130,1,65,72,0.474453,0.992366,0.666667,0.992366,0.333333,0.797546,0.727612,1.363868,0.093269
74,130,1,64,73,0.467153,0.992366,0.670103,0.992366,0.329897,0.8,0.723881,1.370898,0.097779
75,130,1,63,74,0.459854,0.992366,0.673575,0.992366,0.326425,0.802469,0.720149,1.378001,0.102108
76,130,1,62,75,0.452555,0.992366,0.677083,0.992366,0.322917,0.804954,0.716418,1.385178,0.106072
77,129,2,62,75,0.452555,0.984733,0.675393,0.984733,0.324607,0.801242,0.712687,1.381719,0.106128
78,129,2,61,76,0.445255,0.984733,0.678947,0.984733,0.321053,0.803738,0.708955,1.388992,0.106562
79,129,2,60,77,0.437956,0.984733,0.68254,0.984733,0.31746,0.80625,0.705224,1.396341,0.111026
80,129,2,59,78,0.430657,0.984733,0.68617,0.984733,0.31383,0.808777,0.701493,1.403768,0.113386
81,129,2,58,79,0.423358,0.984733,0.68984,0.984733,0.31016,0.811321,0.697761,1.411275,0.115605
82,129,2,57,80,0.416058,0.984733,0.693548,0.984733,0.306452,0.81388,0.69403,1.418862,0.120265
83,129,2,56,81,0.408759,0.984733,0.697297,0.984733,0.302703,0.816456,0.690299,1.426532,0.125044
84,129,2,55,82,0.40146,0.984733,0.701087,0.984733,0.298913,0.819048,0.686567,1.434285,0.125393
85,129,2,54,83,0.394161,0.984733,0.704918,0.984733,0.295082,0.821656,0.682836,1.442122,0.135254
86,129,2,53,84,0.386861,0.984733,0.708791,0.984733,0.291209,0.824281,0.679104,1.450046,0.138074
87,129,2,52,85,0.379562,0.984733,0.712707,0.984733,0.287293,0.826923,0.675373,1.458057,0.14235
88,129,2,51,86,0.372263,0.984733,0.716667,0.984733,0.283333,0.829582,0.671642,1.466158,0.15125
89,129,2,50,87,0.364964,0.984733,0.72067,0.984733,0.27933,0.832258,0.66791,1.474349,0.151771
90,129,2,49,88,0.357664,0.984733,0.724719,0.984733,0.275281,0.834951,0.664179,1.482631,0.156988
91,129,2,48,89,0.350365,0.984733,0.728814,0.984733,0.271186,0.837662,0.660448,1.491008,0.167009
92,129,2,47,90,0.343066,0.984733,0.732955,0.984733,0.267045,0.840391,0.656716,1.49948,0.17226
93,129,2,46,91,0.335766,0.984733,0.737143,0.984733,0.262857,0.843137,0.652985,1.508048,0.184164
94,129,2,45,92,0.328467,0.984733,0.741379,0.984733,0.258621,0.845902,0.649254,1.516715,0.198929
95,129,2,44,93,0.321168,0.984733,0.745665,0.984733,0.254335,0.848684,0.645522,1.525482,0.206084
96,129,2,43,94,0.313869,0.984733,0.75,0.984733,0.25,0.851485,0.641791,1.534351,0.214134
97,129,2,42,95,0.306569,0.984733,0.754386,0.984733,0.245614,0.854305,0.63806,1.543324,0.217136
98,129,2,41,96,0.29927,0.984733,0.758824,0.984733,0.241176,0.857143,0.634328,1.552402,0.232654
99,128,3,41,96,0.29927,0.977099,0.757396,0.977099,0.242604,0.853333,0.630597,1.549483,0.236981
100,128,3,40,97,0.291971,0.977099,0.761905,0.977099,0.238095,0.856187,0.626866,1.558706,0.237658
101,127,4,40,97,0.291971,0.969466,0.760479,0.969466,0.239521,0.852349,0.623134,1.555789,0.248808
102,127,4,39,98,0.284672,0.969466,0.76506,0.969466,0.23494,0.855219,0.619403,1.565161,0.258577
103,127,4,38,99,0.277372,0.969466,0.769697,0.969466,0.230303,0.858108,0.615672,1.574647,0.259022
104,127,4,37,100,0.270073,0.969466,0.77439,0.969466,0.22561,0.861017,0.61194,1.584249,0.26968
105,127,4,36,101,0.262774,0.969466,0.779141,0.969466,0.220859,0.863946,0.608209,1.593968,0.284736
106,127,4,35,102,0.255474,0.969466,0.783951,0.969466,0.216049,0.866894,0.604478,1.603807,0.291805
107,126,5,35,102,0.255474,0.961832,0.782609,0.961832,0.217391,0.863014,0.600746,1.601062,0.293015
108,126,5,34,103,0.248175,0.961832,0.7875,0.961832,0.2125,0.865979,0.597015,1.611069,0.296838
109,126,5,33,104,0.240876,0.961832,0.792453,0.961832,0.207547,0.868966,0.593284,1.621201,0.297543
110,125,6,33,104,0.240876,0.954198,0.791139,0.954198,0.208861,0.865052,0.589552,1.618514,0.313275
111,125,6,32,105,0.233577,0.954198,0.796178,0.954198,0.203822,0.868056,0.585821,1.628823,0.328802
112,125,6,31,106,0.226277,0.954198,0.801282,0.954198,0.198718,0.87108,0.58209,1.639264,0.34803
113,125,6,30,107,0.218978,0.954198,0.806452,0.954198,0.193548,0.874126,0.578358,1.64984,0.361489
114,124,7,30,107,0.218978,0.946565,0.805195,0.946565,0.194805,0.870175,0.574627,1.647269,0.362476
115,124,7,29,108,0.211679,0.946565,0.810458,0.946565,0.189542,0.873239,0.570896,1.658035,0.371889
116,124,7,28,109,0.20438,0.946565,0.815789,0.946565,0.184211,0.876325,0.567164,1.668943,0.396479
117,124,7,27,110,0.19708,0.946565,0.821192,0.946565,0.178808,0.879433,0.563433,1.679996,0.402426
118,124,7,26,111,0.189781,0.946565,0.826667,0.946565,0.173333,0.882562,0.559701,1.691196,0.425724
119,124,7,25,112,0.182482,0.946565,0.832215,0.946565,0.167785,0.885714,0.55597,1.702546,0.429564
120,123,8,25,112,0.182482,0.938931,0.831081,0.938931,0.168919,0.88172,0.552239,1.700227,0.431045
121,123,8,24,113,0.175182,0.938931,0.836735,0.938931,0.163265,0.884892,0.548507,1.711793,0.442509
122,122,9,24,113,0.175182,0.931298,0.835616,0.931298,0.164384,0.880866,0.544776,1.709505,0.482715
123,121,10,24,113,0.175182,0.923664,0.834483,0.923664,0.165517,0.876812,0.541045,1.707186,0.485281
124,120,11,24,113,0.175182,0.916031,0.833333,0.916031,0.166667,0.872727,0.537313,1.704835,0.488652
125,120,11,23,114,0.167883,0.916031,0.839161,0.916031,0.160839,0.875912,0.533582,1.716757,0.500229
126,119,12,23,114,0.167883,0.908397,0.838028,0.908397,0.161972,0.871795,0.529851,1.714439,0.511079
127,119,12,22,115,0.160584,0.908397,0.843972,0.908397,0.156028,0.875,0.526119,1.726598,0.529076
128,118,13,22,115,0.160584,0.900763,0.842857,0.900763,0.157143,0.870849,0.522388,1.724318,0.530836
129,117,14,22,115,0.160584,0.89313,0.841727,0.89313,0.158273,0.866667,0.518657,1.722006,0.531221
130,116,15,22,115,0.160584,0.885496,0.84058,0.885496,0.15942,0.862454,0.514925,1.719659,0.53336
131,115,16,22,115,0.160584,0.877863,0.839416,0.877863,0.160584,0.858209,0.511194,1.717279,0.544019
132,114,17,22,115,0.160584,0.870229,0.838235,0.870229,0.161765,0.853933,0.507463,1.714863,0.550086
133,114,17,21,116,0.153285,0.870229,0.844444,0.870229,0.155556,0.857143,0.503731,1.727566,0.558873
134,114,17,20,117,0.145985,0.870229,0.850746,0.870229,0.149254,0.860377,0.5,1.740458,0.563231
135,113,18,20,117,0.145985,0.862595,0.849624,0.862595,0.150376,0.856061,0.496269,1.738162,0.572362
136,112,19,20,117,0.145985,0.854962,0.848485,0.854962,0.151515,0.851711,0.492537,1.735832,0.574379
137,112,19,19,118,0.138686,0.854962,0.854962,0.854962,0.145038,0.854962,0.488806,1.749082,0.578435
138,111,20,19,118,0.138686,0.847328,0.853846,0.847328,0.146154,0.850575,0.485075,1.7468,0.580904
139,110,21,19,118,0.138686,0.839695,0.852713,0.839695,0.147287,0.846154,0.481343,1.744482,0.592781
140,110,21,18,119,0.131387,0.839695,0.859375,0.839695,0.140625,0.849421,0.477612,1.758111,0.592986
141,109,22,18,119,0.131387,0.832061,0.858268,0.832061,0.141732,0.844961,0.473881,1.755845,0.595008
142,109,22,17,120,0.124088,0.832061,0.865079,0.832061,0.134921,0.848249,0.470149,1.769781,0.601636
143,108,23,17,120,0.124088,0.824427,0.864,0.824427,0.136,0.84375,0.466418,1.767573,0.633771
144,107,24,17,120,0.124088,0.816794,0.862903,0.816794,0.137097,0.839216,0.462687,1.765329,0.649953
145,107,24,16,121,0.116788,0.816794,0.869919,0.816794,0.130081,0.84252,0.458955,1.779681,0.656164
146,106,25,16,121,0.116788,0.80916,0.868852,0.80916,0.131148,0.837945,0.455224,1.7775,0.662217
147,105,26,16,121,0.116788,0.801527,0.867769,0.801527,0.132231,0.833333,0.451493,1.775282,0.666192
148,104,27,16,121,0.116788,0.793893,0.866667,0.793893,0.133333,0.828685,0.447761,1.773028,0.667446
149,104,27,15,122,0.109489,0.793893,0.87395,0.793893,0.12605,0.832,0.44403,1.787927,0.689656
150,104,27,14,123,0.10219,0.793893,0.881356,0.793893,0.118644,0.835341,0.440299,1.803079,0.692509
151,104,27,13,124,0.094891,0.793893,0.888889,0.793893,0.111111,0.83871,0.436567,1.81849,0.694151
152,103,28,13,124,0.094891,0.78626,0.887931,0.78626,0.112069,0.834008,0.432836,1.816531,0.694753
